Sepal.Length Sepal.Width Petal.Length Petal.Width Species
7.07107932207552 3.53977685671624 4.8016045080212 1.89412383902932 versicolor
6.19607531347319 3.87570827997024 4.77763317372971 1.03736976754274 versicolor
7.16272382238713 3.15670028903325 5.56744110481965 2.7258139879415 versicolor
5.25786860286741 1.53851882263723 3.76056411255434 0.224423625823316 versicolor
6.72155849439479 3.22304948498653 3.73329966051713 1.61953046908637 versicolor
5.59224069146723 2.80465626630124 4.18629355341641 0.76441100333529 versicolor
5.95049250421095 3.01598799546137 5.02360048439802 0.674316437646269 versicolor
5.43905403848303 2.65131154232396 4.2025462401477 1.13027522566648 versicolor
7.12229691586703 3.63746733228207 5.1160501513662 1.4121606874701 versicolor
5.82548812869327 2.63521526126935 4.03848670065601 1.42129494411616 versicolor
5.82927592976857 2.1479858057018 3.43666202524726 0.942101395756297 versicolor
5.70197676103935 3.01608552077326 4.28016462847868 2.25219387882822 versicolor
5.97126444240632 2.41953375047443 4.14926300157454 1.55701822989464 versicolor
6.09206029197805 2.87680090959552 5.60040233184815 0.491949522240852 versicolor
5.34640829142086 3.3985194411232 3.54261901468784 0.875993149946669 versicolor
6.75878880013719 3.58618967137337 5.2350543967896 1.43287112379402 versicolor
5.48085340683038 3.06629151741614 4.30470303644178 1.25919092953728 versicolor
5.97617479292816 2.60059637718624 4.1127096925299 0.749194356139085 versicolor
6.74319817333523 2.48812899570438 4.51463347255129 2.03494859279451 versicolor
5.64441236319583 1.9466752985036 4.41183502645188 0.531140754900468 versicolor
6.27263694721262 3.05802181484004 5.60339068921634 2.34585568167263 versicolor
6.3626918315009 2.75469833206994 3.87585571612557 1.57920593533161 versicolor
6.58530506979331 3.00857471100218 4.67983878149265 2.10143558099393 versicolor
5.65068189176903 2.45711638740338 4.98179104205498 1.66268820762807 versicolor
5.964068653896 3.93713658115677 4.64886785990388 0.913313686315722 versicolor
6.41110838016676 3.32772395560121 4.70239713828252 0.394140038333215 versicolor
